id;name;total_population_2024;population_change_abs;population_change_per_1000;born_abs;died_abs;saldo_natural_change_abs;saldo_natural_change_per_1000;migrated_in_abs;migrated_out_abs;saldo_migration_abs;saldo_migration_per_1000;migrated_in_from_abroad_abs;migrated_out_to_abroad_abs;saldo_migration_abroad_abs;saldo_migration_abroad_per_1000;migrated_in_from_within_country_abs;migrated_out_to_within_country_abs;saldo_migration_within_country_abs;saldo_migration_within_country_per_1000;migration_within_municipality_abs;statistical_adjustment_abs;total_population_2025;married_abs;married_per_1000;divorced_abs;divorced_per_1000
AT;ÖSTERREICH;9158750;38463;4.190820946635717;77238;88486;-11248;-1.2255506332776576;178574;128469;50105;5.4593007183834485;178574;128469;50105;5.4593007183834485;0;0;0;0.0;784709;-394;9197213;45810;4.9913295261779425;14963;1.630326647024679
AT1;Ostösterreich;4031434;26159;6.4674157943681205;34202;39231;-5029;-1.2433439363078589;117913;86366;31547;7.799517032949696;91331;65309;26022;6.4335446233054485;26582;21057;5525;1.3659724096442474;346771;-359;4057593;19286;4.768170840253204;7064;1.7464668057424368
AT2;Südösterreich;1839545;2266;1.2312913738829026;14021;19569;-5548;-3.014653372595915;43398;35559;7839;4.259529161459874;28645;19192;9453;5.136538992636839;14753;16367;-1614;-0.877009831176966;141270;-25;1841811;9391;5.102849643483821;2853;1.550253437638094
AT3;Westösterreich;3287771;10038;3.048438373819994;29015;29686;-671;-0.20377586659027855;77204;66485;10719;3.2552511385710816;58598;43968;14630;4.44298200926345;18606;22517;-3911;-1.1877308706923688;236727;-10;3297809;17133;5.203117618913923;5046;1.5324188119441813
AT11;Burgenland;301951;-161;-0.5336212457487415;1870;3599;-1729;-5.730628160866919;9353;7772;1581;5.2400943448991315;2898;2405;493;1.6340079140008046;6455;5367;1088;3.606086430898327;13192;-13;301790;1240;4.109877917567947;463;1.534575383737064
AT21;Kärnten;569744;351;0.6158914469391313;4083;6318;-2235;-3.9217019484585713;15612;13006;2606;4.572686925137824;9275;5075;4200;7.369641245425504;6337;7931;-1594;-2.7969543202876794;39019;-20;570095;2791;4.897302075233948;982;1.723092310239963
AT12;Niederösterreich;1723723;3791;2.196775546660511;13262;18715;-5453;-3.1598567807807347;51527;42276;9251;5.360688626261246;20265;14619;5646;3.2716947339607607;31262;27657;3605;2.088993892300486;90833;-7;1727514;8591;4.978237594661158;3054;1.7697052280404115
AT31;Oberösterreich;1530349;5170;3.3719746188796336;13678;14410;-732;-0.4774246462320874;37023;31180;5843;3.810918316849845;23362;15936;7426;4.843381725299838;13661;15244;-1583;-1.0324634084499924;103425;59;1535519;7963;5.193623576429115;2335;1.5229324439233936
AT32;Salzburg;571479;1367;2.389656998126689;4876;5200;-324;-0.5663854187220536;19702;18006;1696;2.964782932569762;12664;9402;3262;5.702312456393021;7038;8604;-1566;-2.737529523823259;37777;-5;572846;2935;5.130682728238356;878;1.534834560610997
AT22;Steiermark;1269801;1915;1.5073534150459256;9938;13251;-3313;-2.6077607645154837;31667;26434;5233;4.119049828164663;19370;14117;5253;4.134792422577675;12297;12317;-20;-0.01574259441301228;98370;-5;1271716;6600;5.195056156294052;1871;1.4727197073372986
AT33;Tirol;775970;1690;2.176095717308427;6709;6601;108;0.1390641050114261;20565;18912;1653;2.128453385035994;15062;12455;2607;3.3568529793035915;5503;6457;-954;-1.2283995942675974;52785;-71;777660;4028;5.186576064685411;1099;1.4151060315514565
AT34;Vorarlberg;409973;1811;4.406986814020472;3752;3475;277;0.674067005788885;10595;9068;1527;3.715885623969774;7510;6175;1335;3.2486622842171893;3085;2893;192;0.46722333975258457;32059;7;411784;2207;5.370634952260177;734;1.786155892595818
AT13;Wien;2005760;22529;11.167818104701702;19070;16917;2153;1.0672605255192316;106732;86017;20715;10.268602780367338;68168;48285;19883;9.856173260055217;38564;37732;832;0.4124295203121229;193047;-339;2028289;9455;4.686924416527791;3547;1.7582782554652643
AT111;Mittelburgenland;37807;-63;-1.669841795742566;226;477;-251;-6.652861757641017;1110;925;185;4.90350368591071;212;185;27;0.7156464838896711;898;740;158;4.187857202021038;1427;3;37744;141;3.7372649714238384;62;1.643336370413319
AT112;Nordburgenland;165658;147;0.8874098724348308;1060;1878;-818;-4.938103915997902;5838;4861;977;5.897955410672311;1735;1475;260;1.569568481857524;4103;3386;717;4.328386928814787;6792;-12;165805;723;4.364607739934576;263;1.5876788874174184
AT113;Südburgenland;98486;-245;-2.4915243679981494;584;1244;-660;-6.711861562770524;3194;2775;419;4.261015143637651;951;745;206;2.094914366561709;2243;2030;213;2.166100777075942;4184;-4;98241;376;3.823727193335935;138;1.4033892358520188
AT121;Mostviertel-Eisenwurzen;250778;14;0.05581358263400243;2149;2523;-374;-1.4910199932226365;5695;5284;411;1.638527318755357;1935;1599;336;1.3395259832160584;3760;3685;75;0.29900133553929875;11249;-23;250792;1258;5.015249068112504;370;1.4750732553272072
AT122;Niederösterreich-Süd;267289;809;3.0224305254275046;2149;3026;-877;-3.2764790739183205;10106;8450;1656;6.186829357364583;2997;2439;558;2.0846925008511095;7109;6011;1098;4.102136856513473;13986;30;268098;1355;5.0622909294861165;559;2.0884285089171506
AT123;Sankt Pölten;161898;1142;7.021319110345994;1294;1618;-324;-1.9920379962802994;7115;5646;1469;9.031801902888148;2061;1520;541;3.3262115925544506;5054;4126;928;5.705590310333697;9381;-3;163040;850;5.226025607525477;267;1.6415868673050615
AT124;Waldviertel;215838;-701;-3.2538722414178247;1566;2686;-1120;-5.1987687737346135;5752;5346;406;1.8845536804787972;1938;1585;353;1.6385405152931416;3814;3761;53;0.2460131651856558;9274;13;215137;956;4.437520489009188;354;1.643182273126833
AT125;Weinviertel;127496;-281;-2.206519637337689;884;1629;-745;-5.850025373012734;4258;3795;463;3.635653352624021;851;797;54;0.4240286847552854;3407;2998;409;3.2116246678687355;4861;1;127215;615;4.82921557637964;213;1.6725575898680702
AT126;Wiener Umland/Nordteil;344897;1660;4.7995882762828055;2619;3596;-977;-2.8248179192339165;14748;12123;2625;7.589710376652027;3606;3024;582;1.6827472149377065;11142;9099;2043;5.90696316171432;13139;12;346557;1739;5.028002417142048;600;1.734790943234749
AT127;Wiener Umland/Südteil;355527;1148;3.2254914976128415;2601;3637;-1036;-2.910809400284759;17712;15491;2221;6.240258376479199;6877;3655;3222;9.052729621348933;10835;11836;-1001;-2.8124712448697338;15084;-37;356675;1818;5.107964758414761;691;1.9414761540509349
AT130;Wien;2005760;22529;11.167818104701702;19070;16917;2153;1.0672605255192316;106732;86017;20715;10.268602780367338;68168;48285;19883;9.856173260055217;38564;37732;832;0.4124295203121229;193047;-339;2028289;9455;4.686924416527791;3547;1.7582782554652643
AT211;Klagenfurt-Villach;297728;993;3.3306039486775063;2170;3224;-1054;-3.5352029827855906;12683;10636;2047;6.865806931463097;5384;3375;2009;6.738351795461339;7299;7261;38;0.12745513600175754;20589;0;298721;1471;4.933855396278561;547;1.8346831419200362
AT212;Oberkärnten;123773;-176;-1.4222653211713485;871;1451;-580;-4.68701071749649;5099;4686;413;3.3374748729759487;2674;816;1858;15.014596401911168;2425;3870;-1445;-11.67712152893522;5028;-9;123597;568;4.59003808196208;178;1.4384274270937503
AT213;Unterkärnten;148243;-466;-3.1483242436167895;1042;1643;-601;-4.060392425780452;4008;3862;146;0.9863848488584791;1217;884;333;2.249768182670367;2791;2978;-187;-1.2633833338118876;7224;-11;147777;752;5.080557577682029;257;1.736307576415268
AT221;Graz;466471;3497;7.47309448244894;4209;4049;160;0.341920250841244;22847;19524;3323;7.101256209659087;11431;8259;3172;6.778568972927663;11416;11265;151;0.322687236731424;41633;14;469968;2482;5.304037891174798;704;1.5044491037014738
AT222;Liezen;79678;-99;-1.2426745745957777;586;918;-332;-4.167353118846447;2313;2084;229;2.874469470529627;996;713;283;3.552291965763688;1317;1371;-54;-0.6778224952340606;4537;4;79579;395;4.95814602995285;112;1.4058540641891626
AT223;Östliche Obersteiermark;157257;-1109;-7.0816408142609815;1035;2041;-1006;-6.4239230470212325;5943;6048;-105;-0.6704889860211029;2478;2004;474;3.0267788511809783;3465;4044;-579;-3.6972678372020815;10304;2;156148;803;5.1276443407137675;246;1.5708599101065839
AT224;Oststeiermark;267565;-174;-0.650486135579629;1953;2754;-801;-2.9944792793062227;6166;5528;638;2.3851158304586395;1772;1241;531;1.9851042413378333;4394;4287;107;0.4000115891208063;11689;-11;267391;1352;5.054352041975048;347;1.2972338450927083
AT225;West- und Südsteiermark;200188;28;0.13985786944018141;1407;2146;-739;-3.691248768439074;5662;4895;767;3.8311066378792553;1587;1176;411;2.05291372642552;4075;3719;356;1.7781929114537351;10392;0;200216;1102;5.504406147252855;307;1.5334416399334176
AT226;Westliche Obersteiermark;98642;-228;-2.314045392842191;748;1343;-595;-6.038846529566244;2673;2292;381;3.8668916433020817;1106;724;382;3.8770409652005124;1567;1568;-1;-0.01014932189843066;5878;-14;98414;466;4.729584004668688;155;1.5731448942567525
AT311;Innviertel;298577;754;2.5211657549453634;2739;2820;-81;-0.2708414139928043;8873;8050;823;2.751882515013308;4513;3401;1112;3.7182179303703506;4360;4649;-289;-0.9663354153570426;15412;12;299331;1538;5.142643144702877;387;1.2940200890767317
AT312;Linz-Wels;613698;3483;5.65812107087617;5584;5733;-149;-0.2420499682918603;23567;19972;3595;5.840064671202938;11782;8211;3571;5.801076756847202;11785;11761;24;0.03898791435573588;44767;37;617181;3244;5.2698664237503;1033;1.678104813728132
AT313;Mühlviertel;214741;275;1.2803180775674887;1964;1914;50;0.23278510501227068;5790;5569;221;1.0289101641542364;1603;1082;521;2.4256207942278607;4187;4487;-300;-1.396710630073624;7985;4;215016;1109;5.163173629172164;256;1.191859737662826
AT314;Steyr-Kirchdorf;158566;282;1.7758046614872365;1324;1587;-263;-1.656158248124621;4943;4411;532;3.350099574153226;1717;1109;608;3.828685227603687;3226;3302;-76;-0.4785856534504609;8182;13;158848;807;5.081823978085815;255;1.6057808109193095
AT315;Traunviertel;244767;376;1.5347486900042349;2067;2356;-289;-1.1796339665192124;8025;7353;672;2.7429551055394836;3747;2133;1614;6.5879903874117955;4278;5220;-942;-3.845035281872312;12904;-7;245143;1265;5.163449715040843;404;1.64903848606838
AT321;Lungau;20483;-23;-1.1238219719410971;167;211;-44;-2.1499202941481856;629;606;23;1.1238219719410971;318;227;91;4.446426062897384;311;379;-68;-3.322604090956287;914;-2;20460;115;5.619109859705485;29;1.4169929211431225
AT322;Pinzgau-Pongau;173325;79;0.45568302342801975;1510;1622;-112;-0.6460316281511166;5493;5305;188;1.0844102329679457;3135;2417;718;4.141524187611623;2358;2888;-530;-3.0571139546436767;9212;3;173404;912;5.26054325780195;241;1.3901216284323135
AT323;Salzburg und Umgebung;377671;1311;3.466267512698576;3199;3367;-168;-0.4441898872108015;15264;13779;1485;3.92632132445262;9211;6758;2453;6.485701150762476;6053;7021;-968;-2.559379826309856;25967;-6;378982;1908;5.044728004751246;608;1.6075443537152816
AT331;Außerfern;33859;87;2.5679529798954372;290;290;0;0.0;1101;1014;87;2.5679529798954372;764;593;171;5.047355857035859;337;421;-84;-2.479402877140422;1699;0;33946;162;4.781705548770814;43;1.2692181394885493
AT332;Innsbruck;318309;933;2.9273492624954556;2642;2792;-150;-0.47063492966164877;12958;11843;1115;3.4983863104849227;7858;6453;1405;4.408280507830777;5100;5390;-290;-0.9098941973458543;24241;-32;319242;1632;5.120508034718739;476;1.4934815101262988
AT333;Osttirol;48841;170;3.473073465718722;458;494;-36;-0.7354743809757294;993;791;202;4.126828471030481;380;252;128;2.615020021247038;613;539;74;1.5118084497834436;2223;4;49011;228;4.658004412846286;57;1.1645011032115715
AT334;Tiroler Oberland;107727;-9;-0.08358825817162295;957;844;113;1.0494970192659325;2738;2859;-121;-1.123797693196264;1439;1341;98;0.910183255646561;1299;1518;-219;-2.033980948842825;4684;-1;107718;573;5.321785770259995;120;1.1145101089549727
AT335;Tiroler Unterland;267234;509;1.903485969036566;2362;2181;181;0.6768781147261659;7760;7390;370;1.3836734941916098;4621;3816;805;3.0104247643898536;3139;3574;-435;-1.626751270198244;14953;-42;267743;1433;5.358930046423181;403;1.5070822112411317
AT341;Bludenz-Bregenzer Wald;95016;13;0.1367774958933872;841;794;47;0.4945032543837845;3971;4027;-56;-0.5891953669253602;2144;1585;559;5.88143232341565;1827;2442;-615;-6.47062769034101;5298;22;95029;468;4.923989852161939;128;1.3467322672579662
