id;name;citizen_population_2002;citizen_population_2003;citizen_population_2004;citizen_population_2005;citizen_population_2006;citizen_population_2007;citizen_population_2008;citizen_population_2009;citizen_population_2010;citizen_population_2011;citizen_population_2012;citizen_population_2013;citizen_population_2014;citizen_population_2015;citizen_population_2016;citizen_population_2017;citizen_population_2018;citizen_population_2019;citizen_population_2020;citizen_population_2021;citizen_population_2022;citizen_population_2023;citizen_population_2024;citizen_population_2025
AT;ÖSTERREICH;7333379;7353520;7388357;7426958;7457632;7478205;7478310;7474999;7468064;7461961;7456692;7447592;7441672;7438848;7432797;7430935;7426387;7419852;7414841;7401592;7392220;7374952;7357884;7341794
AT1;Ostösterreich;3028609;3040947;3059506;3079541;3096227;3107794;3110779;3111485;3110502;3109420;3108717;3107310;3106420;3106278;3105181;3104530;3103183;3100493;3099819;3095270;3090779;3084153;3075871;3068717
AT2;Südösterreich;1657093;1654596;1655688;1657832;1659504;1659526;1656081;1652259;1647415;1643037;1638892;1633313;1629072;1625235;1620047;1615992;1612113;1607974;1603825;1597859;1594585;1589159;1584389;1579010
AT3;Westösterreich;2647677;2657977;2673163;2689585;2701901;2710885;2711450;2711255;2710147;2709504;2709083;2706969;2706180;2707335;2707569;2710413;2711091;2711385;2711197;2708463;2706856;2701640;2697624;2694067
AT11;Burgenland;264652;264612;264941;265739;266559;267177;267473;268186;268285;268330;268554;268260;267865;267388;267144;267236;267380;267405;267480;267506;267700;267630;267561;267008
AT21;Kärnten;526818;525140;524751;525041;524930;524937;523737;522243;519814;517702;515724;513103;511008;509359;506862;504978;503599;501943;500320;498600;497570;496016;494270;492337
AT12;Niederösterreich;1450371;1453398;1460962;1471098;1480013;1488090;1492730;1497175;1498319;1498869;1499642;1498715;1500022;1501716;1502008;1504244;1506354;1508431;1510163;1511250;1513213;1513292;1512969;1512306
AT31;Oberösterreich;1277644;1281659;1287290;1293155;1297107;1300610;1299925;1298968;1297619;1296111;1294839;1292706;1291538;1291635;1291185;1292373;1292466;1293039;1293107;1291667;1290739;1288308;1285888;1284655
AT32;Salzburg;454838;455742;458296;460679;462725;463610;463139;462733;462110;462048;461801;461341;460821;460710;460517;460552;460338;459764;459488;458772;457817;456353;455191;453924
AT22;Steiermark;1130275;1129456;1130937;1132791;1134574;1134589;1132344;1130016;1127601;1125335;1123168;1120210;1118064;1115876;1113185;1111014;1108514;1106031;1103505;1099259;1097015;1093143;1090119;1086673
